Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,676,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"321,600",ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"32,800",ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,134,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,84,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,42,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,23,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,ANZSIC06 groups C191 and C192
2020,Level 4,CC531,Polymer Product and Rubber Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,47,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,918",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,378,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,499",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,18,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,13,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,9,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,546",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,41,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,16,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,134,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,808,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,2,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,218,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,245",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,84,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,634,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,663,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,400,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,780",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,784",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,895,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,128,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,15,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,"1,101",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,780",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,773",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,"1,331",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,676,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"321,600",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"32,800",ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,134,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,84,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,42,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,23,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,ANZSIC06 groups C191 and C192
2020,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,47,ANZSIC06 groups C191 and C192
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,593","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,424,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,132","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,24,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,6,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,465","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,59,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,20,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,196,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,618,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,2,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,349,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,084","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,139,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,328,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,319,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,118,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,493","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,154","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,"1,288","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,282,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,50,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,"1,051","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,493","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,871","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,808,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,815,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"360,900","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"11,900","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,143,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,103,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,18,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,6,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,3,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,54,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,593","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,424,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,132","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,24,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,6,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,465","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,59,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,20,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,196,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,618,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,2,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,349,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,084","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,139,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,328,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,319,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,118,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,493","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,154","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,"1,288","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,282,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,50,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,"1,051","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,493","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,871","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,808,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,815,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"360,900","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"11,900","ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,143,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,103,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,18,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,6,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,3,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,54,"ANZSIC06 groups C201, C202, C203, and C209"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,750","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,571","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,25,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,4,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"4,463","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,3,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,157,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,478,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"3,025","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,616,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"2,501","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,120","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,781,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,208,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,600,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"2,501","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,535,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,889,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,"1,077","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"765,100","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,126,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,21,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,750","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,571","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,25,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,4,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"4,463","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,3,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,157,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,478,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"3,025","ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2020,Level 3,CC71,Primary Metal and Metal Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,616,"ANZSIC06 groups C211, C212, C213, and C214"
